ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
17.58.102.43,1/22/2019 3:56,GET,/filter,302,7,0,0,/filter,0,0,0,0,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/m/article/608/%D8%B9%D9%84%D8%AA-%D8%B5%D8%AF%D8%A7-%D8%AF%D8%A7%D8%AF%D9%86-%DA%AF%D8%B1%D8%AF%D9%86-%D9%88-%D8%AF%D8%B1%D9%85%D8%A7%D9%86-%D8%A2%D9%86,200,153,20785,20785,/m/article/608/علت-صدا-دادن-گردن-و-درمان-آن,0,0,0,20785,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/product/81900,404,14,32278,32278,/product/81900,0,1,0,#N/A,32278,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/m/browse/gas-heater/%D8%A8%D8%AE%D8%A7%D8%B1%DB%8C-%DA%AF%D8%A7%D8%B2%DB%8C,200,76,19162,19162,/m/browse/gas-heater/بخاری-گازی,0,0,0,19162,#N/A,0,TRUE,FALSE,FALSE,FALSE
2.179.141.98,1/22/2019 3:56,GET,/static/js/accordion.js,200,23,258,258,/static/js/accordion.js,0,0,0,258,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,"/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56",200,64,34277,34277,"/filter/b41,b665,c150|بخارپز,p56",0,0,0,34277,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/32257/62557/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-Marc-Joseph-%D9%85%D8%AF%D9%84-Vetiver-Story,200,153,41176,41176,/product/32257/62557/عطر-و-ادکلن-مشترک-marc-joseph-مدل-vetiver-story,0,0,0,41176,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/2623,200,13,43555,43555,/product/2623,0,0,0,43555,#N/A,0,TRUE,FALSE,FALSE,FALSE
54.36.148.10,1/22/2019 3:56,GET,"/filter/p42,stexists,t51,v1|%D9%85%D8%B4%DA%A9%DB%8C%20%D8%B3%D9%81%DB%8C%D8%AF",200,79,32189,32189,"/filter/p42,stexists,t51,v1|مشکی سفید",0,0,0,32189,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/32718/63159/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-LE-29D40,200,186,42528,42528,/product/32718/63159/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-le-29d40,0,0,0,42528,#N/A,0,TRUE,FALSE,FALSE,FALSE
