ip,time_window,request_count,error_4xx_rate,error_5xx_rate,avg_payload_bytes,max_payload_bytes,unique_uri_count,suspicious_flag_count,Label,Anomaly_Score,Sample_URI
66.249.66.194,2019-01-22 08:01:00,46,0.0434782608695652,0.0,19374.60869565217,42756,46,1,-1,-0.021885731361585004,"/filter/b3,b36,b63,p48,stexists,v1%7C%D8%B3%D9%81%DB%8C%D8%AF%20%D8%A2%D8%A8%DB%8C,v1%7C%D8%B3%D9%81%DB%8C%D8%AF%20%D8%B3%D8%B1%D9%85%D9%87%20%D8%A7%DB%8C,v1%7C%D9%85%D8%B4%DA%A9%DB%8C%20%D9%82%D8%B1%D9%85%D8%B2,v1%7C%D9%85%D8%B4%DA%A9%DB%8C%20%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C,v1%7C%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C%20%D8%B3%D9%81%DB%8C%D8%AF,v1%7C%D9%86%D9%88%DA%A9%20%D9%85%D8%AF%D8%A7%D8%AF%DB%8C"
66.249.66.194,2019-01-22 06:48:00,34,0.088235294117647,0.0,23170.79411764706,49348,33,2,-1,-0.021362334667467064,/filter
46.209.198.46,2019-01-22 07:59:00,110,0.0,0.0,11054.663636363635,185207,106,0,-1,-0.021010312215960614,/static/images/guarantees/warranty.png
188.229.57.121,2019-01-22 06:43:00,108,0.0,0.0,8384.907407407407,185207,104,0,-1,-0.019131698129157604,/static/images/not-checked.png
66.249.66.194,2019-01-22 06:23:00,60,0.0,0.0,20776.533333333333,41861,56,1,-1,-0.01886573294385796,/filter/p1%2Cb35%2Cb512%2Cb80%2Cb126%2Cp2%2Cp6
109.230.116.162,2019-01-22 07:34:00,112,0.0,0.0,10190.99107142857,185207,102,0,-1,-0.018675184354029595,/image/12682/productTypeMenu
2.184.208.209,2019-01-22 07:47:00,109,0.0,0.0,8439.825688073395,185207,102,0,-1,-0.017719650663046038,/image/22935/productModel/100x100
83.123.58.61,2019-01-22 07:24:00,107,0.0,0.0,8271.130841121496,185207,102,0,-1,-0.016779876716025877,/image/148/brand
66.249.66.194,2019-01-22 04:25:00,40,0.075,0.0,22794.7,42598,38,1,-1,-0.01623393499096404,/filter/p10%2Cv1%7C%D8%B3%D9%81%DB%8C%D8%AF%2Ct113%2C585%7C2000%20%D8%AA%D8%A7%202500
40.77.167.13,2019-01-22 06:33:00,13,0.1538461538461538,0.0,35969.769230769234,40114,13,1,-1,-0.016096817301233468,"/filter/b1,b103,b105,b109,b111,b113,b135,b144,b176,b186,b221,b261,b291,b43,b481,b52,b598,b615,b647,b724,b77,b83"
66.249.66.194,2019-01-22 06:53:00,48,0.0208333333333333,0.0,22061.916666666668,40002,48,3,-1,-0.015746821889575213,/site/productImage/33294
23.101.169.3,2019-01-22 06:57:00,102,0.0,0.0,4777.28431372549,185207,102,0,-1,-0.012911713163080374,/image/62/productTypeMenu
159.65.185.106,2019-01-22 06:54:00,13,0.0769230769230769,0.0,92093.76923076923,769091,8,0,-1,-0.011774071310432066,/image/63891/productModel/200x200
66.249.66.194,2019-01-22 07:28:00,33,0.0909090909090909,0.0,19582.15151515152,42968,33,1,-1,-0.009752980503272668,/m/product/5352/%D8%A8%D8%AE%D8%A7%D8%B1%DB%8C-%DA%AF%D8%A7%D8%B2%DB%8C-%D8%A8%D8%AF%D9%88%D9%86-%D8%AF%D9%88%D8%AF%DA%A9%D8%B4-%D8%A2%D8%A8%D8%B3%D8%A7%D9%84-%D9%85%D8%AF%D9%84-Aabsal-Gas-Heater-440
66.249.66.194,2019-01-22 06:00:00,39,0.0512820512820512,0.0,19406.4358974359,42585,31,1,-1,-0.00849182867986975,/filter/p1392%2Cb231
2.178.60.155,2019-01-22 06:24:00,70,0.0428571428571428,0.0,28634.77142857143,483556,40,0,-1,-0.008411071717603691,/image/5681
66.249.66.194,2019-01-22 04:31:00,34,0.0588235294117647,0.0,18427.764705882357,43801,33,1,-1,-0.008018480051248278,/browse/native-dolls
151.234.151.106,2019-01-22 07:11:00,106,0.0,0.0,7023.952830188679,185207,94,0,-1,-0.006430986004612782,/image/43/brand
66.249.66.194,2019-01-22 05:22:00,34,0.0588235294117647,0.0,23865.352941176472,41673,32,1,-1,-0.006341361828723691,/filter/p14%2Cv1%7C%D9%85%D8%B4%DA%A9%DB%8C%20%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C%2Ct106%2Ct108%2Cv1%7C%D8%B3%D9%81%DB%8C%D8%AF%20%D9%85%D8%B4%DA%A9%DB%8C.
31.184.130.52,2019-01-22 04:10:00,27,1.0,0.0,32549.666666666668,33635,27,0,-1,-0.005606675051142762,/product/34423
66.249.66.194,2019-01-22 07:38:00,32,0.09375,0.0,21176.59375,39956,32,1,-1,-0.003505054644865724,/filter/%2Ct10%2Cb36%2Ct5%2Cp1
157.55.39.245,2019-01-22 05:01:00,18,0.0555555555555555,0.0,36538.944444444445,42848,18,1,-1,-0.0016131977664720631,/filter/b190%2Cb237%2Cb648
66.249.66.194,2019-01-22 06:44:00,65,0.2307692307692307,0.0,21546.907692307694,44017,63,0,-1,-0.0007965426237915851,/m/article/616/%D8%B9%D9%84%D8%AA-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B1%D9%81%D8%AA%D9%86%D8%8C%DA%AF%D8%B2%DA%AF%D8%B2%D8%8C%D8%A8%DB%8C-%D8%AD%D8%B3%DB%8C-%D9%88-%D9%85%D9%88%D8%B1-%D9%85%D9%88%D8%B1-%D8%B4%D8%AF%D9%86-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%D8%AF%D8%B3%D8%AA-%D9%88-%D8%AF%D8%B1%D9%85%D8%A7%D9%86-%D8%A2%D9%86
71.255.86.79,2019-01-22 07:36:00,110,0.0,0.0,10876.809090909092,185207,95,0,-1,-0.0002399423006023138,/image/19117/productModel/100x100
