window,total_requests,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,std_response_bytes,error_4xx_ratio,error_5xx_ratio,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval,avg_requests_per_ip,max_requests_per_ip,method_ratio_GET,method_ratio_HEAD,method_ratio_OPTIONS,method_ratio_POST
2019-01-22 03:56:00,242,39,202,62.52479338842975,447,15680.020661157025,17075.016533578477,0.024793388429752067,0.0,0,0.0,0.0,6.205128205128205,34,0.9421487603305785,0.012396694214876033,0.0,0.045454545454545456
2019-01-22 03:57:00,287,47,248,80.58188153310104,478,19913.51567944251,19301.744351013618,0.017421602787456445,0.0,0,0.0,3.9721254355400695,6.1063829787234045,37,0.9825783972125436,0.006968641114982578,0.0,0.010452961672473868
2019-01-22 03:58:00,331,55,248,87.36253776435045,478,21329.70996978852,18017.721609415974,0.030211480362537766,0.0,0,0.0,4.8942598187311175,6.0181818181818185,54,0.9848942598187311,0.015105740181268883,0.0,0.0
2019-01-22 03:59:00,425,42,317,44.52470588235294,460,16890.322352941177,21581.281563688954,0.04941176470588235,0.0,0,0.0,3.5294117647058822,10.119047619047619,82,0.9835294117647059,0.01411764705882353,0.0,0.002352941176470588
2019-01-22 04:00:00,246,43,179,51.28048780487805,394,20646.044715447155,28465.719622066008,0.036585365853658534,0.0,0,0.0,6.585365853658536,5.72093023255814,52,0.926829268292683,0.07317073170731707,0.0,0.0
2019-01-22 04:01:00,245,40,188,48.906122448979595,299,19030.73469387755,20662.03910217121,0.053061224489795916,0.0,0,0.0,5.877551020408164,6.125,50,0.9673469387755103,0.0326530612244898,0.0,0.0
2019-01-22 04:02:00,166,33,124,63.536144578313255,467,21564.77108433735,46886.04982497142,0.10240963855421686,0.0,0,0.0,9.036144578313253,5.03030303030303,36,0.9698795180722891,0.030120481927710843,0.0,0.0
2019-01-22 04:03:00,168,33,133,64.125,409,24550.089285714286,16450.457685724876,0.05952380952380952,0.0,0,0.0,7.142857142857143,5.090909090909091,39,0.9940476190476191,0.005952380952380952,0.0,0.0
2019-01-22 04:04:00,197,37,165,90.13197969543147,481,22361.279187817257,18059.097369589366,0.050761421319796954,0.0,0,0.0,13.096446700507615,5.324324324324325,34,0.9695431472081218,0.030456852791878174,0.0,0.0
2019-01-22 04:05:00,212,37,154,82.89622641509433,467,17556.02358490566,17378.99382185587,0.04716981132075472,0.0,0,0.0,13.30188679245283,5.72972972972973,54,0.9198113207547169,0.08018867924528301,0.0,0.0
