IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
85.133.173.82,129,0.5255652882460786,96,29.186046511627907,7098.984496124031,915769,0.09302325581395349,0.0,0.09302325581395349,0,0.0,0.296875,0.0,1.0,0.0,0.0,0.0
91.186.209.26,127,0.5174169892035038,114,30.448818897637796,9414.976377952757,1195702,0.0,0.0,0.0,0,0.0,4.031746031746032,0.0,1.0,0.0,0.0,0.0
178.157.5.212,125,0.5092686901609289,122,31.24,9135.048,1141881,0.0,0.0,0.0,0,0.0,1.0887096774193548,0.0,0.968,0.0,0.0,0.032
128.65.172.104,125,0.5092686901609289,94,30.496,9780.904,1222613,0.008,0.0,0.008,0,0.0,1.153225806451613,0.0,0.984,0.0,0.0,0.016
94.183.175.80,125,0.5092686901609289,125,28.776,4968.096,621012,0.0,0.0,0.0,0,0.0,4.879032258064516,0.0,1.0,0.0,0.0,0.0
5.211.141.110,124,0.5051945406396415,115,31.137096774193548,13339.25,1654067,0.0,0.0,0.0,0,0.0,3.869918699186992,0.0,1.0,0.0,0.0,0.0
99.243.47.93,124,0.5051945406396415,98,31.733870967741936,12035.024193548386,1492343,0.0,0.0,0.0,0,0.0,1.8211382113821137,0.0,1.0,0.0,0.0,0.0
2.178.20.160,123,0.501120391118354,73,33.77235772357724,15383.520325203252,1892173,0.024390243902439025,0.0,0.024390243902439025,0,0.0,0.8852459016393442,0.0,1.0,0.0,0.0,0.0
83.121.252.134,123,0.501120391118354,103,28.260162601626018,8893.772357723577,1093934,0.0,0.0,0.0,0,0.0,4.073770491803279,0.0,1.0,0.0,0.0,0.0
109.230.116.162,121,0.4929720920757792,106,27.34710743801653,10013.479338842975,1211631,0.008264462809917356,0.0,0.008264462809917356,0,0.0,2.025,0.0,1.0,0.0,0.0,0.0
2.185.17.47,121,0.4929720920757792,110,29.454545454545453,12526.314049586777,1515684,0.0,0.0,0.0,0,0.0,0.5666666666666667,0.0,1.0,0.0,0.0,0.0
5.119.98.221,119,0.48482379303320433,109,33.857142857142854,15436.689075630253,1836966,0.008403361344537815,0.0,0.008403361344537815,0,0.0,1.347457627118644,0.0,1.0,0.0,0.0,0.0
80.84.49.80,119,0.48482379303320433,119,27.294117647058822,8714.66386554622,1037045,0.0,0.0,0.0,0,0.0,1.0677966101694916,0.0,1.0,0.0,0.0,0.0
86.55.73.249,119,0.48482379303320433,82,29.529411764705884,9547.487394957983,1136151,0.0,0.0,0.0,0,0.0,4.940677966101695,0.0,1.0,0.0,0.0,0.0
185.172.68.34,118,0.4807496435119169,107,28.720338983050848,7243.627118644068,854748,0.0,0.0,0.0,0,0.0,0.21367521367521367,0.0,0.9915254237288136,0.0,0.0,0.00847457627118644
