IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,label_reason,weak_label
40.77.192.147,1,0.0040741495212874,1,33.0,2924.0,2924,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
2.178.65.79,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.117.132.245,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.116.161.168,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.123.75.130,6,0.0244448971277245,6,11.666666666666666,4991.333333333333,29948,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,none,Normal
159.65.185.106,142,0.5785292320228153,118,34.12676056338028,17712.605633802817,2515190,0.0070422535211267,0.0,0.0070422535211267,0,0.0,2.4113475177304964,0.0,1.0,0.0,0.0,0.0,R2_high_request_rate,Anomaly
5.233.22.140,2,0.0081482990425748,2,12.0,1284.0,2568,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
5.212.223.221,1,0.0040741495212874,1,12.0,6629.0,6629,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.78.117.215,4,0.0162965980851497,4,12.0,5269.75,21079,0.0,0.0,0.0,0,0.0,103.33333333333331,41.0,1.0,0.0,0.0,0.0,none,Normal
151.235.177.165,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.104,12,0.0488897942554491,12,88.5,29004.416666666668,348053,0.0,0.0,0.0,0,0.0,1073.6363636363635,92.0,1.0,0.0,0.0,0.0,none,Normal
185.162.235.134,1,0.0040741495212874,1,12.0,8820.0,8820,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.106.146.244,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,none,Normal
5.209.102.174,111,0.4522305968629049,100,29.09009009009009,7666.342342342342,850964,0.0,0.0,0.0,0,0.0,1.6272727272727272,0.0,0.990990990990991,0.0,0.0,0.009009009009009,R2_high_request_rate,Anomaly
5.127.62.8,1,0.0040741495212874,1,10.0,18114.0,18114,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.235.227.104,17,0.0692605418618863,16,29.47058823529412,9691.29411764706,164752,0.0,0.0,0.0,0,0.0,7.4375,0.0,1.0,0.0,0.0,0.0,none,Normal
95.81.118.56,82,0.3340802607455694,82,31.341463414634145,9782.0,802124,0.0,0.0,0.0,0,0.0,0.2716049382716049,0.0,1.0,0.0,0.0,0.0,none,Normal
37.156.61.40,31,0.1262986351599103,31,29.451612903225808,8236.90322580645,255344,0.0,0.0,0.0,0,0.0,0.6333333333333333,0.0,1.0,0.0,0.0,0.0,none,Normal
5.116.37.35,4,0.0162965980851497,4,12.0,4159.5,16638,0.0,0.0,0.0,0,0.0,6.666666666666667,1.0,1.0,0.0,0.0,0.0,none,Normal
5.218.187.25,9,0.0366673456915868,7,25.666666666666668,17213.88888888889,154925,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,R5_high_4xx_scan,Anomaly
83.121.75.195,1,0.0040741495212874,1,12.0,7669.0,7669,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.106,9,0.0366673456915868,9,66.44444444444444,24946.444444444445,224518,0.0,0.0,0.0,0,0.0,1734.0,433.0,1.0,0.0,0.0,0.0,none,Normal
5.114.130.141,37,0.1507435322876349,37,27.7027027027027,10700.72972972973,395927,0.0,0.0,0.0,0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,none,Normal
