window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip,label_reason,weak_label
2019-01-22 05:09:00,243,44,193,70.81893004115226,483,21348.22633744856,5187619,0.9176954732510288,0.0493827160493827,0.0329218106995884,0.0,0.0,65.72457627118644,0.9670781893004116,0.0082304526748971,0.0,0.0246913580246913,40,none,Normal
2019-01-22 05:12:00,169,41,137,83.57396449704142,436,26990.59171597633,4561410,0.7869822485207101,0.2011834319526627,0.0118343195266272,0.0,0.0,98.09146341463416,1.0,0.0,0.0,0.0,44,none,Normal
2019-01-22 07:40:00,927,75,579,40.54692556634304,446,14141.973031283713,13109609,0.9374325782092772,0.0485436893203883,0.0140237324703344,0.0,0.0,15.773033707865167,0.988133764832794,0.0021574973031283,0.0,0.0097087378640776,126,none,Normal
2019-01-22 04:17:00,192,38,167,87.35416666666667,459,19569.494791666668,3757343,0.875,0.0625,0.0625,0.0,0.0,26.06779661016949,0.984375,0.015625,0.0,0.0,38,R5_high_4xx_scan,Anomaly
2019-01-22 05:52:00,241,39,208,66.30705394190872,438,20188.792531120333,4865499,0.941908713692946,0.0456431535269709,0.0124481327800829,0.0,0.0041493775933609,103.2543103448276,0.991701244813278,0.0082987551867219,0.0,0.0,34,none,Normal
2019-01-22 06:33:00,331,55,270,69.26283987915407,434,18139.12688821752,6004051,0.879154078549849,0.0604229607250755,0.0604229607250755,0.0,0.0060422960725075,81.11320754716981,0.9939577039274924,0.0060422960725075,0.0,0.0,38,R5_high_4xx_scan,Anomaly
2019-01-22 06:32:00,361,53,275,62.77562326869806,433,20296.116343490303,7326898,0.8670360110803325,0.0969529085872576,0.0360110803324099,0.0,0.0,138.2703488372093,0.997229916897507,0.002770083102493,0.0,0.0,56,none,Normal
2019-01-22 04:08:00,238,37,204,143.7731092436975,639,25732.10084033613,6124240,0.9201680672268908,0.0798319327731092,0.0,0.0,0.0,12.114155251141552,1.0,0.0,0.0,0.0,74,none,Normal
2019-01-22 04:27:00,136,36,114,95.63235294117646,469,25911.647058823528,3523984,0.8602941176470589,0.1102941176470588,0.0294117647058823,0.0,0.0,23.272727272727277,1.0,0.0,0.0,0.0,29,none,Normal
2019-01-22 07:13:00,407,74,309,50.04914004914005,445,13926.982800982802,5668282,0.9287469287469288,0.0638820638820638,0.0073710073710073,0.0,0.0073710073710073,80.03208556149733,0.9705159705159704,0.0049140049140049,0.0,0.0245700245700245,49,none,Normal
2019-01-22 07:12:00,446,72,363,56.62331838565022,452,16780.578475336322,7484138,0.9237668161434978,0.0582959641255605,0.0179372197309417,0.0,0.0044843049327354,107.6658767772512,0.984304932735426,0.0022421524663677,0.0,0.0134529147982062,95,none,Normal
2019-01-22 05:32:00,266,36,216,71.13533834586467,504,20704.4022556391,5507371,0.8834586466165414,0.075187969924812,0.0413533834586466,0.0,0.0,88.83333333333333,0.9887218045112782,0.0112781954887218,0.0,0.0,35,none,Normal
2019-01-22 07:21:00,725,79,488,41.06758620689655,447,17935.255172413792,13003060,0.9586206896551724,0.0303448275862068,0.0110344827586206,0.0,0.0013793103448275,26.473684210526315,0.9944827586206896,0.0055172413793103,0.0,0.0,124,none,Normal
2019-01-22 04:59:00,190,51,171,70.76315789473684,497,24250.836842105266,4607659,0.8631578947368421,0.1210526315789473,0.0157894736842105,0.0,0.0,189.46067415730337,0.9894736842105264,0.0105263157894736,0.0,0.0,59,none,Normal
2019-01-22 07:46:00,712,110,460,37.92134831460674,444,12992.6952247191,9250799,0.8960674157303371,0.0941011235955056,0.0098314606741573,0.0,0.0,35.791111111111114,0.976123595505618,0.0028089887640449,0.0,0.021067415730337,94,none,Normal
2019-01-22 07:05:00,606,83,410,45.867986798679866,459,16061.427392739271,9733225,0.9191419141914192,0.0742574257425742,0.0066006600660066,0.0,0.0016501650165016,56.97038327526133,0.995049504950495,0.0049504950495049,0.0,0.0,64,none,Normal
2019-01-22 05:49:00,252,40,211,69.27380952380952,654,24883.3253968254,6270598,0.9246031746031746,0.0674603174603174,0.0079365079365079,0.0,0.0,64.33064516129032,0.992063492063492,0.0079365079365079,0.0,0.0,32,none,Normal
2019-01-22 04:33:00,314,42,262,76.10509554140127,474,23202.684713375795,7285643,0.910828025477707,0.0445859872611464,0.0445859872611464,0.0,0.0,44.13815789473684,0.9840764331210192,0.0159235668789808,0.0,0.0,94,none,Normal
2019-01-22 04:41:00,240,38,203,78.0875,495,22140.9875,5313837,0.8916666666666667,0.0958333333333333,0.0125,0.0,0.0041666666666666,47.05194805194805,0.9875,0.0125,0.0,0.0,53,none,Normal
2019-01-22 07:52:00,1801,109,1101,31.29705719044975,453,10040.727928928372,18083351,0.935036091060522,0.0372015546918378,0.0277623542476402,0.0,0.0,23.40478905359179,0.9927817878956136,0.0016657412548584,0.0,0.005552470849528,213,R2_high_request_rate;R3_single_ip_flood,Anomaly
2019-01-22 05:22:00,331,43,259,54.5619335347432,488,18309.16314199396,6060333,0.9395770392749244,0.0483383685800604,0.0120845921450151,0.0,0.0030211480362537,23.01851851851852,0.9879154078549848,0.0120845921450151,0.0,0.0,134,none,Normal
