window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip
2019-01-22 03:56:00,242,39,202,62.52479338842975,447,15680.020661157025,3794565,0.9504132231404959,0.024793388429752067,0.024793388429752067,0.0,0.0,1.9064039408866995,0.9421487603305785,0.012396694214876033,0.0,0.045454545454545456,34
2019-01-22 03:57:00,287,47,248,80.58188153310104,478,19913.51567944251,5715179,0.9512195121951219,0.0313588850174216,0.017421602787456445,0.0,0.0,4.285714285714286,0.9825783972125436,0.006968641114982578,0.0,0.010452961672473868,37
2019-01-22 03:58:00,331,55,248,87.36253776435045,478,21329.70996978852,7060134,0.9033232628398792,0.06646525679758308,0.030211480362537766,0.0,0.0,5.21594684385382,0.9848942598187311,0.015105740181268883,0.0,0.0,54
2019-01-22 03:59:00,425,42,317,44.52470588235294,460,16890.322352941177,7178387,0.9388235294117647,0.011764705882352941,0.04941176470588235,0.0,0.0,3.7783251231527095,0.9835294117647059,0.01411764705882353,0.0,0.002352941176470588,82
2019-01-22 04:00:00,246,43,179,51.28048780487805,394,20646.044715447155,5078927,0.8943089430894309,0.06910569105691057,0.036585365853658534,0.0,0.0,7.192825112107624,0.926829268292683,0.07317073170731707,0.0,0.0,52
2019-01-22 04:01:00,245,40,188,48.906122448979595,299,19030.73469387755,4662530,0.9061224489795918,0.04081632653061224,0.053061224489795916,0.0,0.0,6.40625,0.9673469387755103,0.0326530612244898,0.0,0.0,50
2019-01-22 04:02:00,165,33,124,62.73939393939394,467,21695.466666666667,3579752,0.8363636363636363,0.06666666666666667,0.09696969696969697,0.0,0.0,9.766666666666667,0.9696969696969697,0.030303030303030304,0.0,0.0,36
2019-01-22 04:03:00,168,33,133,64.125,409,24550.089285714286,4124415,0.8333333333333334,0.10714285714285714,0.05952380952380952,0.0,0.0,6.913907284768212,0.9940476190476191,0.005952380952380952,0.0,0.0,39
2019-01-22 04:04:00,197,37,165,90.13197969543147,481,22361.279187817257,4405172,0.868020304568528,0.08121827411167512,0.050761421319796954,0.0,0.0,14.430939226519337,0.9695431472081218,0.030456852791878174,0.0,0.0,34
2019-01-22 04:05:00,212,37,154,82.89622641509433,467,17556.02358490566,3721877,0.8207547169811321,0.1320754716981132,0.04716981132075472,0.0,0.0,13.94949494949495,0.9198113207547169,0.08018867924528301,0.0,0.0,54
2019-01-22 04:06:00,340,31,268,72.56470588235294,460,18042.670588235294,6134508,0.9205882352941176,0.058823529411764705,0.020588235294117647,0.0,0.0,7.840978593272172,0.9794117647058823,0.020588235294117647,0.0,0.0,52
2019-01-22 04:07:00,283,42,231,65.2826855123675,516,19464.36042402827,5508414,0.911660777385159,0.07420494699646643,0.014134275618374558,0.0,0.0,16.026515151515152,0.9858657243816255,0.014134275618374558,0.0,0.0,39
2019-01-22 04:08:00,238,37,204,143.7731092436975,639,25732.100840336134,6124240,0.9201680672268907,0.07983193277310924,0.0,0.0,0.0,12.114155251141552,1.0,0.0,0.0,0.0,74
2019-01-22 04:09:00,238,42,174,76.50840336134453,454,26284.344537815126,6255674,0.8109243697478992,0.1134453781512605,0.07563025210084033,0.0,0.0,11.527777777777779,0.9705882352941176,0.029411764705882353,0.0,0.0,43
2019-01-22 04:10:00,249,37,182,64.63453815261045,401,20633.963855421687,5137857,0.7228915662650602,0.1285140562248996,0.14859437751004015,0.0,0.0,23.362869198312236,0.9317269076305221,0.06827309236947791,0.0,0.0,49
2019-01-22 04:11:00,230,37,190,73.77391304347826,447,26459.34347826087,6085649,0.8173913043478261,0.09565217391304348,0.08695652173913043,0.0,0.0,23.61860465116279,0.9956521739130435,0.004347826086956522,0.0,0.0,42
